"Параметр";"Выручка";"Прибыль";"Реализация";"Списание";"Равномерность.продаж";"Продажи.макс";"День.макс";"Продажи.мин";"День.мин";"Списание.макс";"День"
"Магазин1";3216000;-1473000;822;420;38,6387419690701;105;4;21;6;99;6
"Магазин2";3712000;39000;654;190;42,3623822343766;119;3;13;4;63;1
"Магазин3";3312000;-227600;628;214;46,7241143002503;132;2;4;7;102;7
"Магазин4";2744000;-1425800;730;387;36,9909898939368;104;7;9;2;91;2
"Магазин5";3864000;405100;619;136;24,2487113059643;105;6;37;1;58;5
"Магазин6";2536000;-617600;556;239;40,6354290642795;112;4;3;5;66;7
"Магазин7";2696000;-2131100;841;504;28,9449395198802;91;2;13;6;118;1
"Магазин8";2104000;-1395700;611;348;29,7032946705532;88;6;4;1;113;7
"Магазин9";3032000;-1034900;715;336;28,0501252013164;96;5;13;7;112;1
"Магазин10";3632000;-505200;732;278;34,0657627314609;123;2;29;4;104;1
"Итого";30848000;-8366800;6908;3052;350,364490891088;0;0;0;0;0;0
"Среднее";3084800;-836680;690,8;305,2;35,0364490891088;0;0;0;0;0;0
