"Параметр";"Выручка";"Прибыль";"Реализация";"Списание";"Равномерность.продаж";"Продажи.макс";"День.макс";"Продажи.мин";"День.мин";"Списание.макс";"День"
"Магазин1";2232000;-1019400;570;291;20,6189926316214;76;2;15;3;106;3
"Магазин2";3456000;47500;607;175;41,0597706021936;111;1;2;6;46;6
"Магазин3";2552000;-170100;483;164;30,6368903059538;101;5;13;7;53;6
"Магазин4";2616000;-1353700;695;368;28,2531077093847;93;3;5;4;113;1
"Магазин5";3400000;354500;545;120;39,6598633621545;116;6;5;5;45;3
"Магазин6";2024000;-494400;444;191;17,939050248258;55;4;4;2;62;7
"Магазин7";2112000;-1670500;659;395;34,1599877327958;79;1;4;4;112;2
"Магазин8";2880000;-1920200;838;478;44,9587112169123;124;1;4;7;114;2
"Магазин9";2224000;-756400;524;246;30,8745541706774;101;4;8;6;94;6
"Магазин10";3160000;-446200;638;243;33,0144268608798;89;1;13;6;79;6
"Итого";26656000;-7428900;6003;2671;321,175354840831;0;0;0;0;0;0
"Среднее";2665600;-742890;600,3;267,1;32,1175354840831;0;0;0;0;0;0
